Users,sku,Purchase
100307254,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307254,OOTMOC0121,Regular Plum Cake
100307254,HYDKBA0012,Karachi Fruit Biscuit (Pack Of 2)
100307252,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307252,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100307251,AGRPRP0001,Dry Cherry Petha
100307250,BOMSUM0001,Aflatoon Product
100307247,PNQKKH0006,Mango Barfi
100307245,CMBSKS0001,Mysurpa
100307245,TVLMFI0002,Tirunelveli Melting Halwas (Pack of 3)
100307243,MDRUMA0001,Appalam
100307240,CCUGGS0021,Ata Sandesh
100307240,HYDVLK0034,Chegodi
100307240,HYDVLK0033,Chekkalu
100307240,HYDVLK0035,Janthikalu
100307240,PSECBAF018,Prawn Pickle
100307239,CCUGGS0027,Nolen Gurer Jalbhara Karapak
100307237,HYDSRS0022,Rice Cracker
100307237,CCJDLB0067,Kozhikodan Black Halwa
100307237,CCJKBC0005,Kumari Banana Chips
100307236,BOMSET0001,Anjeer Paak (Sugarfree)
100307235,CMBSKS0001,Mysurpa
100307235,AGRPAN0001,Kesar Angoori Petha
100307234,GOIMAC0001,Guava Cheese (Guava Bar)
100307234,SURDTV0001,Nankhatai
100307234,IDRTOM0014,Gud Gajak
100307234,IDRTOM0017,Alsi Gajak
100307233,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100307229,MUSSOS0001,Special Desi Ghee Bal Mithai
100307227,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100307226,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307225,PNQCBM0001,Chitale Bhakarwadi
100307224,NAGHLR0001,Orange Burfee
100307222,GOICAZ0002,Bebinca (1 Pack)
100307220,AHMSFP0005,Bites
100307219,PNQATV0025,Puran Poli (2 Packs)
100307217,GOIMAC0001,Guava Cheese (Guava Bar)
100307205,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307205,PNQMAL0018,Malpani's Cream Roll 5 (Pack of 2)           
100307205,LONNTC0009,Deluxe Mix Chikki
100307205,LONNTC0019,Groundnut Rajgira Chikki
100307204,GOKSDS0003,Ladagi Ladu
100307198,CMBSKS0001,Mysurpa
100307197,TCRSJS0001,Muscoth Halwa
100307169,AGRPRP0009,Kesar Angoori Petha
100307164,TCRSJS0001,Muscoth Halwa
100307164,STRMSS0003,Seeni Sevu
100307164,CHEHAF0001,Artisan Nut Butters
100307157,NVSKOH0005,Mix dry fruit pickle
100307149,KPTCEN0017,Herbal Candy Slab Chikki (Pack Of 3)
100307149,STRMSS0002,Milagu Sevu
100307149,STRMSS0001,Kaara Sevu
100307149,STRMSS0004,Karupati Sevu
100307148,SAWAKU0007,Akshay Udyog's Sandgi Mirchi (Stuffed Dried Chilli) (Pack Of 2)
100307142,GOKSDS0004,Dink Ladu
100307139,HYDVLK0008,Amla Pickle
100307139,HYDVLK0005,Chicken Pickle
100307139,HYDVLK0003,Tomato Pickle
100307139,HYDVLK0007,Prawn Pickle
100307137,AHMSFP0012,Kesar Penda
100307132,PMYOSF0031,Chatpata Chana Papad
100307132,PMYOSF0028,Moong Sada Papad
100307129,CCJDLB0051,Special Rich Plum Cake
100307128,TCRSJS0002,Tirunelveli Ghee Halwa
100307119,CMBSKS0002,Cashew Krunch (Classic)
100307118,RATSAW0001,Raja Alphonso Mango Pulp
100307111,CMBSKS0001,Mysurpa
100307111,PNQDSE0012,Milk Mysore Pak
100307109,TCRSJS0001,Muscoth Halwa
100307106,NAGHLR0001,Orange Burfee
100307100,GUROMS0001,Doda Burfi
100307099,CCJDLB0051,Special Rich Plum Cake
100307097,DELFOP0001,Kaala Ampapar (Pack of 2)
100307092,CCJKBC0010,Sarkara Upperi
100307090,CCJKBC0005,Kumari Banana Chips
100307083,CCJDLB0051,Special Rich Plum Cake
100307081,CCJKBC0005,Kumari Banana Chips
100307075,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307075,PNQLNC0007,Cornflakes Chiwda (Pack of 2)
100307075,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100307073,PCCJTFP001,Sarasaparilla (Nannari) Syrup
100307071,CCJKBC0005,Kumari Banana Chips
100307065,CCJDLB0039,Macron Swirls
100307064,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100307060,PMYOSF0042,Jira Hing Special Papad
100307060,PBKBRSC003,Moongodi
100307056,CCUKCD0001,Rossogollas
100307049,NAGHLR0001,Orange Burfee
100307049,NAGSHS0007,Bhagat’s Ghee Son Rolls
100307019,PBKBRSC003,Moongodi
100307019,PMYOSF0027,Moong Special Papad
100307015,ALWBTD0001,Alwar Kalakand (Milk Cake)
100307008,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100306990,CCJDLB0073,Assorted Halwa (in a Container)
100306990,CCJDLB0051,Special Rich Plum Cake
100306990,CCJDLB0079,Coconut Macrons
100306989,CCJDLB0073,Assorted Halwa (in a Container)
100306989,CCJDLB0051,Special Rich Plum Cake
100306989,CCJDLB0079,Coconut Macrons
100306982,CCUKCD0001,Rossogollas
100306980,PNQCBM0044,Chitale's Ghee (set of 2)
100306977,CMBVMS0014,Idli Milagi Podi (Set of 2)
100306958,PNQGBL0009,Ukadiche Modak (6 Nos)
100306957,PNQGBL0009,Ukadiche Modak (6 Nos)
100306956,PNQGBL0009,Ukadiche Modak (6 Nos)
100306955,PNQGBL0009,Ukadiche Modak (6 Nos)
100306954,PNQGBL0009,Ukadiche Modak (6 Nos)
100306953,PNQGBL0009,Ukadiche Modak (6 Nos)
100306952,PNQGBL0009,Ukadiche Modak (6 Nos)
100306951,PNQGBL0009,Ukadiche Modak (6 Nos)
100306950,PNQGBL0009,Ukadiche Modak (6 Nos)
100306949,PNQGBL0009,Ukadiche Modak (6 Nos)
100306948,PNQGBL0009,Ukadiche Modak (6 Nos)
100306947,PNQGBL0009,Ukadiche Modak (6 Nos)
100306946,PNQGBL0009,Ukadiche Modak (6 Nos)
100306945,PNQGBL0009,Ukadiche Modak (6 Nos)
100306930,PNQCBM0001,Chitale Bhakarwadi
100306929,BLRSVS0006,Mysore Pak
100306883,CCJKBC0005,Kumari Banana Chips
100306883,CMBVMS0014,Idli Milagi Podi (Set of 2)
100306859,PPNQSGU023,Shriram's Chutney Combo (Pack of 4)
100306803,PNQMYG0014,Organic Shivkaleen Wheat Flour (Atta)
100306799,DHWBTP0001,Dharwad Pedha
100306799,PNQDSE0012,Milk Mysore Pak
100306799,CCJKBC0005,Kumari Banana Chips
100306799,CCJDLB0067,Kozhikodan Black Halwa
100306799,CCJDLB0075,Kozhikodan Pineapple Halwa
100306799,IDRNSB0012,Golden Corn Mixture
100306682,PNQRFP0031,Dry Calcutta Paan (Pack of 2)
100306604,CMBVMS0014,Idli Milagi Podi (Set of 2)
100306604,CMBVMS0004,Sambar Powder (Set of 2)
100306604,CMBVMS0012,Rasam Powder (Set of 3)
100306535,CMBSKS0001,Mysurpa
100306413,CCUKCD0001,Rossogollas
100306389,DELBRT0012,Doda Burfee
100306389,DELBRT0005,White Pista Burfee
100306257,CCJKBC0005,Kumari Banana Chips
100306257,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100306257,PNQDBC0013,Fanas Gare (Jackfruit Chips)
100306255,CCJKBC0005,Kumari Banana Chips
100306255,GOIMAC0001,Guava Cheese (Guava Bar)
100306255,ISKKCH0004,Onion Chiwda (Nashik Chiwda) (Pack of 2)   
100306247,PGOIMAC004,Cafreal Paste
100306247,PKLHPKM034,Kolhapuri Mutton Biryani Masala (Pack of 4)
100306245,PNQPMK0004,Black Salt Roasted Makhana
100306241,SLPBLK0001,Rassogolla
100306240,BOMEIC0008,Wedding Pickle (Pack of 2)
100306237,PNQRFP0003,Imli Pop
100306237,PNQRFP0017,Special Badam Bee (Almonds)
100306237,PNQRFP0020,Salted Pista 
100306237,PNQRFP0026,Afghan Kismis (Raisins)
100306237,PNQRFP0027,Manuka Black (Raisins)
100306237,PNQRFP0031,Dry Calcutta Paan (Pack of 2)
100306230,PNQAFD0001,Afshin Fresh Dates
100306228,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100306223,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100306223,CCUKCD0001,Rossogollas
100306223,PNQAFD0001,Afshin Fresh Dates
100306223,PNQATV0027,Gul Poli (2 Packs)
100306219,PNQAFD0001,Afshin Fresh Dates
100306210,PNQCBM0045,Chitale Bhakarwadi (Pack Of 2)
100306206,HYDKBA0012,Karachi Fruit Biscuit (Pack Of 2)
100306204,PNQATV0023,Bhopala Gharage (2 Packs)
100306181,DHWBTP0001,Dharwad Pedha
100306178,PNQAFD0001,Afshin Fresh Dates
100306134,PNQAFD0001,Afshin Fresh Dates
100306133,PNQAFD0001,Afshin Fresh Dates
100306132,PNQAFD0001,Afshin Fresh Dates
100306108,CCUKCD0001,Rossogollas
100306029,EKLPLT0001,Passion Fruit Concentrate
100305931,CCJKBC0005,Kumari Banana Chips
100305924,DHWBTP0001,Dharwad Pedha
100305916,SSEANF0001,Morawala (Amla Murabba)
100305906,GOICAZ0001,Dodol (1 Pack)
100305896,CCJKBC0005,Kumari Banana Chips
100305896,CCJKBC0010,Sarkara Upperi
100305811,PNQMYG0011,Organic Emmer (Khapli) Whole Wheat Grain
100305328,CCUKCD0001,Rossogollas
100305301,CMBSKS0001,Mysurpa
100305274,CKMRUC0005,Pure Fresh Filter Coffee Powder
100305119,HYDSRS0004,Osmania Cookies
100305119,HYDSRS0022,Rice Cracker
100305119,HYDSRS0016,Sunnundalu
100305075,VRDRMB0001,Mathura Peda
100305060,GOIMAC0001,Guava Cheese (Guava Bar)
100305031,HYDSRS0014,Dry Fruit Pootharekulu
100305011,BOMGOP0001,Goosebumps Homemade Chunda Pickle
100304943,KOLGDW0064,Goodwyn Sweet Love – Queen of Berries Infusion 50 GM
100304930,AGRPRP0009,Kesar Angoori Petha
100304926,NAGSHS0006,Bhagat’s Pineapple Son Rolls
100304898,RATSAW0001,Raja Alphonso Mango Pulp
100304600,OOTMOC0033,Intense Orange 
100304558,BOMSET0010,Dryfruit Bombay Halwa
100304535,PNQCBM0044,Chitale's Ghee (set of 2)
100304527,MAAMBI0022,Appalam
100304527,MDRUMA0003,Appalam
100304489,CKMRUC0004,Platinum Fresh Filter Coffee Powder
100304489,CKMRUC0001,Fresh Filter Coffee Powder
100304489,CKMRUC0003,Premium Fresh Filter Coffee Powder
100304472,PNQAFD0001,Afshin Fresh Dates
100304460,NAGHLR0001,Orange Burfee
100304441,PNQAFD0001,Afshin Fresh Dates
100304421,PNQMZN0014,Ribbon Cake (Pack Of 2)
100304321,HUBPOF0006,Shenga (Groundnut) Chutney (Pack of 2)
100304294,PNQGBC0001,Chatpati Bhel
100304294,PNQGBC0002,Ganesh Bhel Pani Puri Chutney (Pack of 2)
100304253,PNQSSU0003,Coconut Water Flavor Sing
100304190,AGRPAN0007,Kesar Plain Petha
100304090,NAGSHS0008,Bhagat’s Cashew Son Rolls
100304082,PNQKKH0003,Kaju Gajak
100304064,PNQKKH0011,Chandrakala
100304062,PNQKKH0011,Chandrakala
100304061,PNQATV0023,Bhopala Gharage (2 Packs)
100304061,PNQLNC0007,Cornflakes Chiwda (Pack of 2)
100304048,PNQATV0019,Cheese Shankarpale
100304048,PNQATV0023,Bhopala Gharage (2 Packs)
100304047,PNQRFP0001,Sweet Avla
100304047,PNQRFP0003,Imli Pop
100304047,PNQRFP0017,Special Badam Bee (Almonds)
100304047,PNQRFP0018,Akrod Bee ( Walnut )
100304047,PNQRFP0026,Afghan Kismis (Raisins)
100304015,BLRSVS0006,Mysore Pak
100303986,PNQRFP0031,Dry Calcutta Paan (Pack of 2)
100303917,DHWBTP0001,Dharwad Pedha
100303909,GUROMS0001,Doda Burfi
100303897,GUROMS0001,Doda Burfi
100303893,CCUKCD0001,Rossogollas
100303888,PNQKKH0011,Chandrakala
100303831,PKLHPKM044,Kolhapuri Chicken Biryani Masala (Pack of 4)
100303814,GOICAZ0002,Bebinca (1 Pack)
100303658,BOMMMM0059,MM Tansen Ice Halwa
100303615,BOMMMM0057,MM Kaju Ice Halwa
100303598,PNQCBM0006,Kaju Katli
100303591,PNQCBM0006,Kaju Katli
100303546,PNQRFP0001,Sweet Avla
100303546,PNQAFD0001,Afshin Fresh Dates
